外上唇恶性肿瘤	C00.000
脾红髓弥漫小B细胞淋巴瘤	C83.800x006
恶性淋巴瘤,淋巴浆细胞性	C83.800x008
起源于HHV8相关多中心性Castleman病的大B细胞淋巴瘤	C83.800x009
原发渗出性淋巴瘤	C83.801
血管内大B细胞淋巴瘤	C83.802
淋巴样肉芽肿病	C83.803
非滤泡（弥漫性）淋巴瘤，未特指	C83.900
蕈样真菌病	C84.000
原发性皮肤T细胞淋巴瘤[蕈样肉芽肿]	C84.000x002
嗜毛囊性蕈样肉芽肿	C84.000x003
塞扎里病	C84.100
周围T细胞淋巴瘤，不可分类在他处	C84.400
成熟T细胞淋巴瘤	C84.400x001
血管免疫母细胞性T-细胞淋巴瘤	C84.401
外周T-细胞淋巴瘤，多形性小细胞	C84.402
外周T-细胞淋巴瘤，多形性中等细胞和大细胞	C84.403
间变大细胞T-细胞淋巴瘤,ALK阴性	C84.404
外周T-细胞淋巴瘤,AILD	C84.405
Lennert淋巴瘤	C84.406
淋巴上皮样淋巴瘤	C84.407
其他成熟的T/NK细胞淋巴瘤	C84.500
儿童系统性EBV阳性T细胞增殖性疾病	C84.500x004
原发皮肤外周T细胞淋巴瘤（罕见类型）	C84.500x012
原发皮肤CD4+小/中多形性T细胞淋巴瘤	C84.500x016
皮肤淋巴瘤	C84.502
间变性大细胞淋巴瘤，ALK阳性	C84.600
间变性大细胞淋巴瘤，CD30阳性	C84.601
间变性大细胞淋巴瘤，ALK阴性	C84.700
皮肤T细胞淋巴瘤，未特指	C84.800
成熟T/NK细胞淋巴瘤，未特指	C84.900
T/NK细胞淋巴瘤，未特指	C84.901
B-细胞淋巴瘤	C85.100
富T细胞/富组织细胞大B细胞淋巴瘤	C85.100x010
ALK+大B细胞淋巴瘤	C85.100x017
原发皮肤B细胞淋巴瘤	C85.100x021
纵膈（胸腺）大B细胞淋巴瘤	C85.200
非霍奇金淋巴瘤的其他特指类型	C85.700
慢性NK细胞淋巴增殖性疾病	C85.700x004
皮下NK细胞淋巴瘤	C85.700x016
单核细胞样B细胞淋巴瘤	C85.701
血管中心性T-细胞淋巴瘤	C85.704
大细胞（ki-1+）淋巴瘤	C85.705
NK/T-细胞淋巴瘤	C85.707
间变大细胞淋巴瘤	C85.709
血管内皮瘤病	C85.715
非霍奇金淋巴瘤	C85.900
鼻窦淋巴瘤	C85.900x001
鼻腔淋巴瘤	C85.900x002
扁桃体淋巴瘤	C85.900x003
肠淋巴瘤	C85.900x004
肠系膜淋巴瘤	C85.900x005
淋巴瘤	C85.900x006
肺淋巴瘤	C85.900x008
腹膜后淋巴瘤	C85.900x009
腹腔淋巴瘤	C85.900x010
肝淋巴瘤	C85.900x011
睾丸淋巴瘤	C85.900x012
纵隔淋巴瘤	C85.900x013
回盲部淋巴瘤	C85.900x014
结肠淋巴瘤	C85.900x015
卵巢淋巴瘤	C85.900x016
盲肠淋巴瘤	C85.900x017
脑淋巴瘤	C85.900x019
脾淋巴瘤	C85.900x020
舌淋巴瘤	C85.900x022
胃淋巴瘤	C85.900x023
小肠淋巴瘤	C85.900x024
眼淋巴瘤	C85.900x025
硬膜外淋巴瘤	C85.900x026
肢体淋巴瘤	C85.900x027
直肠淋巴瘤	C85.900x028
骨淋巴瘤	C85.900x029
腹股沟淋巴瘤	C85.900x030
乳腺淋巴瘤	C85.900x031
周围神经血管内淋巴瘤	C85.900x034
甲状腺淋巴瘤	C85.900x036
脊髓淋巴瘤	C85.900x037
淋巴瘤结内侵及	C85.900x038
淋巴瘤结外侵及	C85.900x039
颈淋巴瘤	C85.900x040
心脏淋巴瘤	C85.900x041
胰腺淋巴瘤	C85.900x042
肾淋巴瘤	C85.900x043
复合性霍奇金和非霍奇金淋巴瘤	C85.901
结外NK/T细胞淋巴瘤，鼻型	C86.000
肝脾T细胞淋巴瘤	C86.100
肠型T细胞淋巴瘤	C86.200
皮下血管炎样T细胞淋巴瘤	C86.300
原始NK细胞淋巴瘤	C86.400
血管免疫母细胞性T细胞淋巴瘤	C86.500
原发性皮肤CD30阳性T细胞增殖性病变	C86.600
淋巴瘤样丘疹病	C86.601
原发性皮肤间变性大细胞淋巴瘤	C86.602
原发性皮肤CD30+间变性大细胞淋巴瘤	C86.603
瓦尔登斯特伦巨球蛋白血症	C88.000
高粘滞综合征	C88.000x002
巨球蛋白血症伴缓解	C88.000x011
高粘滞综合征伴缓解	C88.000x012
其他重链病	C88.200
γ重链病伴缓解	C88.200x011
富兰克林病伴缓解	C88.200x012
富兰克林病	C88.201
γ重链病	C88.202
Mµ重链病	C88.203
免疫增生性小肠病	C88.300
地中海淋巴瘤	C88.301
α重链病	C88.302
MALT-淋巴瘤	C88.400
与黏膜有关的淋巴样组织淋巴瘤	C88.401
与支气管有关的淋巴样组织淋巴瘤	C88.402
与皮肤有关的淋巴样组织淋巴瘤	C88.403
恶性免疫增生性疾病，其他的	C88.700
重链病	C88.700x002
μ重链病	C88.700x003
重链病伴缓解	C88.700x012
μ重链病伴缓解	C88.700x013
血管中心性免疫增生性病变，恶性	C88.701
恶性免疫增生性疾病	C88.900
原发性免疫疾病相关性淋巴增殖性疾病	C88.900x001
多发性骨髓瘤	C90.000
卡勒病	C90.000x004
浆细胞病	C90.000x005
多发性骨髓瘤引起的变形性骨炎	C90.000x008+M90.6*
多发性骨髓瘤髓外浸润	C90.000x009
多发性骨髓瘤伴缓解	C90.000x011
浆细胞性骨髓瘤伴缓解	C90.000x012
卡勒病伴缓解	C90.000x014
多发性骨髓瘤（IgGλ型）	C90.000x021
多发性骨髓瘤（IgGк型）	C90.000x022
多发性骨髓瘤（轻链λ型）	C90.000x023
多发性骨髓瘤（轻链к型）	C90.000x024
多发性骨髓瘤（无分泌型）	C90.000x025
多发性骨髓瘤（IgDλ型）	C90.000x026
多发性骨髓瘤（IgAλ型）	C90.000x027
多发性骨髓瘤（IgAк型）	C90.000x028
多发性骨髓瘤（IgDк型）	C90.000x029
多发性骨髓瘤（DS分期I期）	C90.000x030
多发性骨髓瘤（DS分期II期B组）	C90.000x031
多发性骨髓瘤（DS分期II期）	C90.000x032
多发性骨髓瘤（DS分期III期B组）	C90.000x033
多发性骨髓瘤（DS分期III期）	C90.000x034
多发性骨髓瘤（DS分期I期B组）	C90.000x035
多发性骨髓瘤（ISS分期III期）	C90.000x036
多发性骨髓瘤（ISS分期III期B组）	C90.000x037
多发性骨髓瘤（ISS分期II期）	C90.000x038
多发性骨髓瘤（ISS分期II期B组）	C90.000x039
多发性骨髓瘤（ISS分期I期）	C90.000x040
多发性骨髓瘤（ISS分期I期B组）	C90.000x041
骨髓瘤病	C90.001
浆细胞性骨髓瘤	C90.002
多发性骨髓瘤伴肾小管间质病	C90.004+N16.1*
骨髓瘤伴肾小球病变	C90.005+N08.1*
浆细胞白血病	C90.100
继发性浆细胞白血病	C90.100x002
浆细胞白血病伴缓解	C90.100x011
髓外浆细胞瘤	C90.200
软组织浆细胞瘤	C90.200x008
原发皮肤浆细胞瘤	C90.200x009
髓外的浆细胞瘤伴缓解	C90.200x013
孤立性浆细胞瘤	C90.300
浆细胞瘤伴缓解	C90.300x001
浆细胞肉瘤伴缓解	C90.300x002
浆细胞肉瘤	C90.300x003
孤立性骨髓瘤伴缓解	C90.300x004
局限性恶性浆细胞瘤	C90.301
浆细胞瘤	C90.302
孤立性骨髓瘤	C90.303
急性淋巴细胞白血病	C91.000
前B细胞急性淋巴细胞白血病	C91.000x006
前T细胞急性淋巴细胞白血病	C91.000x007
B淋巴母细胞性白血病/淋巴瘤	C91.000x009
急性淋巴细胞白血病L1伴缓解	C91.000x012
急性淋巴细胞白血病L2伴缓解	C91.000x013
急性淋巴细胞白血病L3伴缓解	C91.000x014
慢性粒细胞性白血病伴缓解（急淋变）	C91.000x015
T淋巴母细胞白血病/淋巴瘤	C91.000x016
前T细胞急性淋巴细胞白血病伴缓解	C91.000x017
急性淋巴细胞性白血病，L1型	C91.001
急性淋巴细胞性白血病，L2型	C91.002
急性淋巴细胞性白血病，L3型	C91.003
慢性粒细胞性白血病，急淋变	C91.004
急性淋巴细胞白血病，完全缓解	C91.006
成人Ph+急性淋巴细胞白血病（ALL）	C91.007
成人Ph-急性淋巴细胞白血病（ALL）	C91.008
B细胞型慢性淋巴细胞白血病	C91.100
慢性淋巴细胞白血病伴缓解	C91.100x011
慢性淋巴细胞性白血病，急性变	C91.100x012
淋巴浆细胞性白血病	C91.101
Richter综合征	C91.102
幼淋巴细胞白血病，B细胞型	C91.300
多毛细胞白血病	C91.400
毛细胞白血病（变异型）	C91.400x004
毛细胞白血病伴缓解	C91.400x013
白血病性网状内皮细胞增多症	C91.401
成人T-细胞淋巴瘤/白血病[HTLV-1-相关性]	C91.500
成人T细胞白血病伴缓解	C91.500x011
T细胞型早幼粒细胞白血病	C91.600
淋巴样白血病，其他的	C91.700
非白血性淋巴细胞性白血病	C91.701
T-细胞大颗粒淋巴细胞白血病	C91.704
伯基特型成熟B细胞白血病	C91.800
淋巴样白血病	C91.900
淋巴细胞白血病	C91.901
急性髓细胞白血病	C92.000
急性粒细胞性白血病	C92.000x003
急性嗜碱性粒细胞白血病	C92.000x006
急性粒细胞性白血病未分化型伴缓解（M1型）	C92.000x011
急性粒细胞性白血病部分分化型伴缓解（M2型）	C92.000x012
急性粒细胞性白血病伴缓解	C92.000x013
急性髓系白血病，伴有异常的骨髓嗜酸性粒细胞	C92.000x014
急性髓系白血病，最低分化	C92.000x015
急性髓系白血病，伴有成熟	C92.000x016
急性髓系白血病，完全缓解	C92.000x017
急性髓系白血病，t（6;9）（p23;q34）;DEK-NUP214	C92.000x018
急性髓细胞白血病，微分化型	C92.001
急性髓细胞白血病，不伴有成熟	C92.002
急性髓细胞白血病，1/ETO型	C92.003
急性髓细胞白血病，M0型	C92.004
急性髓细胞白血病，M1型	C92.005
急性髓细胞白血病，M2型	C92.006
急性髓细胞白血病，t（8;21）	C92.007
急性髓细胞白血病（没有FAB分类），未特指	C92.008
转化过程中难治性贫血伴原始细胞增多	C92.009
慢性髓系白血病（CML），BCR/ABL阳性	C92.100
慢性粒细胞性白血病	C92.100x001
慢性粒细胞性白血病（急性变）	C92.100x002
慢性髓单核细胞性白血病	C92.100x004
慢性粒细胞性白血病伴缓解	C92.100x011
慢性粒细胞性白血病伴缓解（急性变）	C92.100x012
慢性髓单核细胞性白血病伴缓解	C92.100x014
慢性髓系白血病伴缓解	C92.100x016
慢性髓系白血病，急性发作	C92.100x017
慢性中幼粒细胞性白血病	C92.100x018
慢性髓系白血病，BCR/ABL阳性	C92.100x019
费城染色体（Ph1）阳性慢性粒细胞白血病	C92.101
慢性粒细胞白血病t（9:22）（q34；q11）	C92.102
慢性粒细胞白血病原始细胞危象	C92.103
非典型性慢性髓系白血病，BCR/ABL阴性	C92.200
慢性粒细胞白血病（加速期）	C92.200x001
慢性粒细胞白血病伴缓解（加速期）	C92.200x011
亚急性粒细胞性白血病	C92.201
髓样肉瘤	C92.300
绿色瘤	C92.300x001
粒细胞肉瘤	C92.300x003
绿色瘤伴缓解	C92.300x011
粒细胞肉瘤伴缓解	C92.300x013
急性早幼粒细胞白血病	C92.400
急性早幼粒细胞白血病伴缓解（M3型）	C92.400x011
急性早幼粒细胞性白血病，完全缓解	C92.401
急性髓细胞白血病，M3型	C92.402
急性髓细胞白血病，M3伴（15；17）伴多样型	C92.403
急性粒-单核细胞白血病	C92.500
急性粒单核细胞白血病伴缓解（M4型）	C92.500x011
急性髓细胞白血病，M4型	C92.501
急性髓细胞白血病，M4伴t（16；16）伴多样型	C92.502
急性髓系白血病伴11q23异常	C92.600
急性髓系白血病伴MLL基因变异	C92.601
髓样白血病,其他的	C92.700
唐氏综合征相关的髓系白血病	C92.700x006
嗜碱细胞性白血病伴缓解	C92.700x012
嗜酸细胞性白血病伴缓解	C92.700x013
非白血性髓系白血病	C92.701
嗜碱细胞白血病	C92.703
嗜酸细胞白血病	C92.706
急性髓系白血病伴多系增生异常	C92.800
髓样白血病	C92.900
低增生性粒细胞性白血病	C92.900x001
低增生性粒细胞性白血病伴缓解	C92.900x011
粒细胞白血病	C92.901
急性单核细胞白血病	C93.000
急性单核细胞性白血病伴缓解（M5型）	C93.000x011
急性单核细胞白血病伴缓解	C93.000x016
急性髓细胞白血病，M5a型	C93.001
急性髓细胞白血病，M5b型	C93.002
急性髓细胞白血病，M5型	C93.003
慢性粒单核细胞白血病	C93.100
慢性单核细胞白血病伴缓解	C93.100x011
慢性单核细胞白血病，急性加重	C93.100x012
慢性粒单核细胞性白血病伴缓解	C93.100x013
慢性单核细胞白血病	C93.101
慢性粒单核细胞白血病-1	C93.102
慢性粒单核细胞白血病-2	C93.103
慢性粒单核细胞白血病伴嗜酸粒细胞增多	C93.104
幼年型骨髓单核细胞白血病	C93.300
幼年型粒单核细胞白血病伴缓解	C93.300x001
单核细胞白血病，其他的	C93.700
非白血性单核细胞白血病	C93.701
单核细胞白血病	C93.900
组织细胞白血病	C93.901
急性红白细胞病	C94.000
急性红白血病（M6型）	C94.000x001
急性红白血病伴缓解（M6型）	C94.000x011
红白血病	C94.001
急性髓系白血病,M6（a）（b）	C94.004
急性原巨核细胞白血病	C94.200
急性巨核细胞白血病伴缓解（M7型）	C94.200x011
急性巨核细胞性白血病	C94.201
急性髓系白血病，M7	C94.202
肥大细胞白血病	C94.300
肥大细胞白血病伴缓解	C94.300x011
急性全骨髓增殖症伴骨髓纤维化	C94.400
急性骨髓纤维化	C94.400x001
骨髓增生异常和骨髓增生性疾病，不可归类在他处者	C94.600
白血病，其他特指的	C94.700
中枢神经系统白血病	C94.700x004
中枢神经系统白血病伴缓解	C94.700x014
急性嗜碱细胞性白血病	C94.702
侵袭性NK细胞白血病	C94.703
急性白血病	C95.000
急性白血病髓外复发	C95.000x002
急性非淋巴细胞性白血病	C95.000x003
急性白血病（谱系未定）	C95.000x015
B淋巴细胞和髓系混合表型急性白血病	C95.000x016
T淋巴细胞和髓系混合表型急性白血病	C95.000x017
NK细胞淋巴母细胞性白血病/淋巴瘤	C95.000x018
急性白血病伴缓解	C95.000x101
急性白血病髓外复发伴缓解	C95.000x102
急性白血病伴缓解（谱系未定）	C95.000x115
B淋巴细胞和髓系混合表型急性白血病伴缓解	C95.000x116
T淋巴细胞和髓系混合表型急性白血病伴缓解	C95.000x117
NK细胞淋巴母细胞性白血病/淋巴瘤伴缓解	C95.000x118
干细胞白血病	C95.002
未分化细胞白血病	C95.003
急性双系白血病	C95.004
急性混合型单系白血病	C95.005
急性双表型白血病	C95.006
慢性白血病	C95.100
慢性白血病伴缓解	C95.100x011
慢性白血病急性加重	C95.100x012
白血病,其他的	C95.700
高白细胞白血病	C95.700x001
先天性白血病	C95.700x002
皮肤白血病	C95.700x003
高白细胞白血病伴缓解	C95.700x011
白血病	C95.900
白血病性关节病	C95.900x003+M36.1*
难治性白血病	C95.900x005
白血病致肾小管间质疾患	C95.900x007+N16.1*
混合细胞性白血病伴缓解	C95.900x012
白血病性关节病伴缓解	C95.900x013+M36.1*
难治性白血病伴缓解	C95.900x015
白血病致肾小管间质疾患伴缓解	C95.900x017+N16.1*
混合细胞性白血病	C95.901
莱特雷尔-西韦病	C96.000
急性分化性进行性组织细胞增多症	C96.002
组织细胞增生症X，多系统	C96.004
恶性肥大细胞瘤	C96.200
全身性肥大细胞病	C96.200x005
皮肤外肥大细胞病	C96.200x006
肥大细胞肉瘤伴缓解	C96.200x013
侵袭性系统性肥大细胞增生症	C96.201
肥大细胞肉瘤	C96.202
树突细胞肉瘤	C96.400
滤泡树突状细胞肉瘤	C96.400x001
未定型树突细胞瘤	C96.400x002
母细胞性浆细胞样树状突细胞肿瘤	C96.400x003
指突状树突细胞肉瘤	C96.400x004
交错树突细胞肉瘤	C96.401
朗格汉斯细胞肉瘤	C96.402
小结树突细胞肉瘤	C96.403
朗格汉斯细胞组织细胞增生症，多病灶和单系统性	C96.500
汉-许-克病	C96.501
组织细胞增生症X，多病灶	C96.502
朗格汉斯细胞组织细胞增生症，单病灶	C96.600
嗜酸细胞性肉芽肿	C96.601
组织细胞增生症X，单病灶	C96.602
组织细胞增生症XNOS	C96.603
朗格汉斯细胞组织细胞增生症NOS	C96.604
淋巴、造血和有关组织其他特指的恶性肿瘤	C96.700
原发皮肤γδ-T细胞淋巴瘤	C96.704
种痘样水疱病样淋巴瘤	C96.705
组织细胞肉瘤	C96.800
恶性组织细胞增生症	C96.801
淋巴、造血和有关组织的恶性肿瘤	C96.900
独立（原发）多个部位的恶性肿瘤	C97.x00
复合癌	C97.x01
